date,signal,short_mavg,long_mavg,positions
2018-07-12 02:00:00,0.0,5462.325000000001,5572.489999999995,0.0
2018-07-13 02:00:00,0.0,5377.700000000001,5547.199999999995,0.0
2018-07-14 02:00:00,0.0,5372.950000000001,5517.659999999994,0.0
2018-07-15 02:00:00,0.0,5367.500000000001,5503.389999999995,0.0
2018-07-16 02:00:00,0.0,5463.300000000001,5515.409999999994,0.0
2018-07-17 02:00:00,1.0,5698.1500000000015,5566.959999999995,1.0
2018-07-18 02:00:00,1.0,5941.250000000002,5628.9999999999945,0.0
2018-07-19 02:00:00,1.0,6184.125000000002,5703.889999999995,0.0
2018-07-20 02:00:00,1.0,6309.600000000002,5790.769999999995,0.0
2018-07-21 02:00:00,1.0,6318.475000000002,5874.489999999995,0.0
2018-07-22 02:00:00,1.0,6310.400000000002,5968.229999999994,0.0
2018-07-23 02:00:00,1.0,6358.150000000002,6096.069999999994,0.0
2018-07-24 02:00:00,1.0,6592.7750000000015,6278.699999999995,0.0
2018-07-25 02:00:00,1.0,6757.175000000001,6430.359999999995,0.0
2018-07-26 02:00:00,1.0,6883.850000000001,6536.449999999994,0.0
2018-07-27 02:00:00,1.0,6985.9000000000015,6611.169999999994,0.0
2018-07-28 02:00:00,1.0,6954.700000000001,6684.0799999999945,0.0
2018-07-29 02:00:00,1.0,6976.500000000002,6747.309999999995,0.0
2018-07-30 02:00:00,1.0,7018.050000000001,6819.829999999996,0.0
2018-07-31 02:00:00,1.0,6916.025000000001,6850.189999999997,0.0
2018-08-01 02:00:00,0.0,6777.175000000001,6870.789999999996,-1.0
2018-08-02 02:00:00,0.0,6641.500000000001,6860.649999999997,0.0
2018-08-03 02:00:00,0.0,6499.85,6782.659999999998,0.0
2018-08-04 02:00:00,0.0,6361.825000000001,6692.049999999997,0.0
2018-08-05 02:00:00,0.0,6254.775000000001,6619.159999999998,0.0
2018-08-06 02:00:00,0.0,6130.9000000000015,6518.649999999999,0.0
2018-08-07 02:00:00,0.0,5978.9000000000015,6392.339999999998,0.0
2018-08-08 02:00:00,0.0,5819.950000000002,6229.4299999999985,0.0
2018-08-09 02:00:00,0.0,5720.5250000000015,6100.15,0.0
